instance,mltd,ttr,readability,unique_words,avg sentence len,avg word len
4_32,47.858905227027144,0.6074766355140186,96.99,65,8,3.9
4_33,16.888379204892967,0.6170212765957447,101.8,29,11,3.6
4_33,50.73432343234323,0.6223776223776224,86.5,89,10,4.0
4_32,21.833333333333336,0.6511627906976745,96.59,28,8,3.6
4_35,80.91999999999999,0.9411764705882353,79.6,16,17,4.5
4_36,8.48,0.75,105.66,6,8,3.4
4_36,72.76359438605019,0.5404411764705882,88.06,147,17,3.8
4_36,65.78111310234965,0.5680473372781065,81.12,96,15,4.0
4_34,42.914620840152764,0.76,71.44,38,16,4.4
4_36,70.43769112474149,0.4899598393574297,87.15,122,17,3.8
4_36,36.46158854166667,0.5391304347826087,93.64,62,11,3.7
4_37,62.566801935383175,0.5754716981132075,84.17,122,12,3.9
4_34,73.96000000000002,0.8372093023255814,98.01,36,7,3.9
4_36,42.24312796208531,0.4703196347031963,94.15,103,10,3.9
4_36,51.50354442344045,0.5402843601895735,93.95,114,11,3.9
4_32,60.134765485708854,0.5942028985507246,89.79,82,15,3.9
4_37,67.43358531317494,0.6240601503759399,86.03,83,19,3.7
4_38,87.4247311827957,0.5742574257425742,82.58,116,22,3.9
4_32,31.32761402243438,0.5555555555555556,92.12,65,13,3.7
4_39,93.0,0.7204301075268817,65.39,67,31,4.0
4_40,63.333333333333336,0.5684210526315789,92.42,108,12,3.7
4_40,52.5087260034904,0.6275862068965518,72.05,91,16,4.1
4_41,80.89264924404178,0.6477987421383647,73.81,103,22,4.2
4_41,70.95604437352785,0.5906976744186047,85.42,127,19,3.8
4_41,48.888888888888886,0.5902777777777778,75.95,85,20,4.2
4_42,74.05999999999996,0.9130434782608695,73.51,21,23,4.7
4_45,68.53352608990288,0.759493670886076,93.85,60,11,3.9
4_44,69.45866666666666,0.7540983606557377,86.5,46,10,4.0
4_46,56.02153846153847,0.7450980392156863,105.15,38,8,3.5
4_44,148.12000000000012,0.9565217391304348,93.64,22,11,3.6
4_43,4.24,0.75,118.18,3,4,3.2
4_42,87.374,0.7468354430379747,95.27,59,9,3.9
4_45,108.416,0.8863636363636364,81.93,39,14,4.0
4_42,33.635000000000005,0.7419354838709677,72.66,23,15,4.0
4_47,41.86518987341772,0.5,84.61,102,20,3.8
4_42,16.980504587155963,0.5223880597014925,88.26,35,16,3.5
4_44,78.93181818181819,0.717391304347826,89.79,66,15,3.8
4_47,56.94619289340102,0.46283783783783783,87.55,137,17,3.9
4_45,79.19452712305258,0.6530612244897959,92.83,64,12,4.0
4_42,33.371183916604615,0.49523809523809526,93.44,104,11,3.7
4_42,43.147525867196876,0.5397727272727273,87.45,95,17,3.7
4_44,34.83433734939759,0.6888888888888889,59.64,31,45,4.1
4_45,50.911253801765824,0.6460176991150443,86.4,73,10,4.1
4_46,5.0,1.0,83.32,5,5,4.4
4_47,17.92,0.875,118.18,7,4,3.2
4_46,197.16666666666666,0.9076923076923077,80.31,59,16,4.3
4_48,41.136399255558814,0.5876288659793815,89.08,57,16,3.7
4_46,99.55555555555559,0.775,97.2,62,8,3.9
4_48,78.86666666666669,0.7692307692307693,83.66,50,13,3.9
4_46,98.78399999999999,0.8809523809523809,77.74,37,10,5.0
4_49,90.70583333333335,0.7303370786516854,85.59,65,11,4.0
4_50,54.5529534883721,0.7959183673469388,97.23,39,16,3.6
4_49,109.21750000000003,0.7974683544303798,61.7,63,26,4.3
4_50,235.3399999999998,0.9512195121951219,63.15,39,8,5.0
4_48,42.86510590858418,0.74,86.71,37,10,4.1
4_49,87.72625743865657,0.697841726618705,76.66,97,19,4.1
4_48,57.14664892499475,0.6025641025641025,89.48,94,15,4.3
4_49,73.17333333333333,0.7857142857142857,82.65,44,14,4.4
4_49,48.48039762170197,0.5984251968503937,82.54,76,14,4.3
4_49,96.08811298031688,0.7022900763358778,80.11,92,16,4.2
4_51,45.301596037424325,0.6477272727272727,85.69,57,11,3.8
4_51,63.999999999999986,0.825,106.97,33,6,3.5
4_50,82.87974683544303,0.6666666666666666,81.63,60,15,4.1
4_52,29.385903679834936,0.676056338028169,98.11,48,7,3.9
4_53,14.0,1.0,83.62,14,4,4.1
4_52,96.03999999999998,0.8571428571428571,80.07,42,8,4.1
4_53,33.12069444444445,0.8947368421052632,87.21,17,9,4.3
4_54,86.24504384292794,0.6045197740112994,92.53,107,12,4.0
4_54,49.936087165636906,0.574468085106383,94.35,81,10,3.6
4_53,94.71636363636367,0.819672131147541,89.14,50,7,4.5
4_54,87.27740833932424,0.6491228070175439,87.11,111,9,4.1
4_54,53.760000000000005,0.875,91.98,21,4,4.0
4_54,64.512,0.7916666666666666,84.68,38,12,3.9
4_55,53.760000000000005,0.875,67.76,21,12,4.2
4_55,97.6164383561644,0.7142857142857143,75.81,80,12,4.2
4_56,70.98,0.8461538461538461,83.66,33,13,3.9
4_57,27.0,1.0,91.61,27,13,4.0
4_58,45.36708860759494,0.7142857142857143,82.65,40,14,4.1
4_55,77.28493295695131,0.6423841059602649,79.8,97,16,4.1
4_59,34.147313648970375,0.609375,92.32,39,12,3.8
4_55,96.44600000000001,0.7590361445783133,82.85,63,13,4.1
4_60,47.68666666666667,0.7391304347826086,95.98,34,9,3.9
4_61,40.824653106390414,0.6666666666666666,104.34,56,9,3.8
4_62,27.804878048780488,0.631578947368421,94.25,48,10,3.9
4_63,63.00000000000002,0.8666666666666667,83.33,26,30,3.3
4_64,94.09866666666666,0.7887323943661971,86.6,56,10,4.1
4_65,80.64,0.75,101.6,54,12,3.5
4_64,71.68,0.9375,71.82,15,8,4.8
4_64,67.04398262686239,0.6463414634146342,92.42,106,12,4.0
4_66,70.00000000000001,0.8,63.03,40,50,3.8
4_67,63.894873105471355,0.54337899543379,81.02,119,15,4.2
4_67,74.06,0.8260869565217391,81.33,38,15,4.4
4_64,71.74942713972754,0.6303030303030303,80.11,104,16,3.9
4_62,41.29056996374713,0.6526315789473685,88.13,62,8,3.8
4_62,8.0,1.0,109.72,8,4,3.2
4_62,54.87999999999999,0.8571428571428571,98.21,24,7,3.7
4_66,33.34313725490196,0.6578947368421053,104.13,25,9,3.3
4_63,86.31466666666668,0.7794117647058824,93.85,53,11,3.9
4_64,61.74000000000001,0.8095238095238095,82.65,34,14,4.2
4_67,51.68828024106759,0.5454545454545454,86.74,90,18,3.9
4_63,73.05820721769499,0.5964912280701754,77.57,102,19,4.1
4_66,38.70975160757689,0.5228758169934641,93.34,80,11,3.6
4_64,83.37313432835822,0.6515151515151515,71.65,86,16,4.4
4_68,35.58860406091371,0.8518518518518519,106.87,23,6,3.6
4_69,67.76000000000002,0.8181818181818182,96.38,36,8,3.8
4_70,23.95945945945946,0.6851851851851852,97.5,37,7,4.1
4_71,74.05999999999996,0.9130434782608695,85.18,21,11,4.6
4_70,59.53901639344262,0.75,95.47,51,9,3.8
4_72,32.0,0.6875,106.0,22,16,3.4
4_71,61.24739250744999,0.7228915662650602,103.22,60,10,3.6
4_73,61.0,0.7049180327868853,104.94,43,8,3.5
4_69,57.49971091999711,0.6213592233009708,95.67,64,9,3.7
4_70,72.41154562383613,0.6214285714285714,85.02,87,20,3.8
4_71,53.586958671148906,0.5211267605633803,90.9,111,14,4.0
4_74,48.84433962264151,0.6736842105263158,86.03,64,19,3.7
4_70,36.274217585692995,0.5333333333333333,91.82,64,13,3.6
4_71,57.412011173184354,0.6306306306306306,85.56,70,27,3.8
4_74,31.50664167360918,0.6122448979591837,85.42,60,19,3.6
4_74,66.88,0.7272727272727273,71.65,48,16,4.1
4_71,49.527317880794705,0.6666666666666666,55.07,66,49,3.9
4_75,77.87845198139314,0.6614173228346457,104.54,84,9,3.6
4_70,49.76380971598648,0.6530612244897959,92.83,64,12,3.8
4_74,60.50000000000001,0.7454545454545455,78.28,41,18,4.3
4_70,96.32125274725273,0.8591549295774648,73.98,61,14,4.3
4_71,10.69811320754717,0.7142857142857143,99.57,10,14,4.0
5_76,26.48863636363636,0.7333333333333333,74.87,22,30,3.6
5_77,271.0400000000003,0.9545454545454546,74.02,42,22,4.4
5_78,96.03999999999998,0.8571428571428571,80.31,42,16,4.0
5_78,128.6764705882353,0.728,63.02,91,25,4.4
5_77,89.0,0.7191011235955056,57.95,64,29,4.4
5_78,76.45866666666667,0.765625,75.24,49,21,4.2
5_78,178.3939393939394,0.7724137931034483,61.56,112,18,4.9
5_78,73.35983251866875,0.6455696202531646,82.24,102,14,4.3
5_77,42.875000000000014,0.7714285714285715,96.01,27,17,3.7
5_77,98.0,0.5969387755102041,66.27,117,21,4.4
5_77,43.903999999999996,0.8214285714285714,65.73,23,14,5.1
5_77,44.36791325695581,0.7647058823529411,62.51,39,25,4.5
5_78,47.8115403422983,0.8181818181818182,85.69,36,11,3.9
5_78,58.172326283987914,0.75,75.24,48,21,4.2
5_79,52.5,0.580952380952381,91.71,61,13,3.7
5_79,59.715978134582784,0.660377358490566,66.67,70,21,4.3
5_79,58.0,0.5775862068965517,71.55,67,16,4.3
5_78,43.67999999999999,0.7948717948717948,68.6,31,19,4.5
5_79,46.239999999999995,0.7941176470588235,71.14,27,17,4.4
5_79,26.883521754025352,0.4793814432989691,87.15,93,17,3.7
5_80,84.94574752097637,0.6204379562043796,91.41,85,13,3.7
5_81,96.0,0.7083333333333334,64.04,68,24,4.2
5_81,215.04000000000002,0.9375,55.24,45,16,5.0
5_80,33.70309090909091,0.7435897435897436,69.99,29,9,4.7
5_81,52.66716202270382,0.7857142857142857,59.98,44,28,4.6
5_80,119.59111111111113,0.8548387096774194,67.38,53,20,4.9
5_81,30.809688581314887,0.8,69.79,24,10,4.6
5_80,161.28000000000014,0.9583333333333334,67.76,23,12,4.5
5_80,66.20257394766782,0.6153846153846154,83.56,136,13,4.3
5_81,91.03500000000001,0.8431372549019608,83.86,43,12,4.2
5_81,42.59111111111112,0.7567567567567568,59.3,28,37,4.3
5_82,94.13600000000001,0.8780487804878049,84.51,36,20,4.0
5_83,43.74999999999999,0.84,88.43,21,8,4.2
5_84,85.17600000000002,0.8717948717948718,78.45,34,9,4.3
5_85,35.84,0.875,80.62,14,16,3.9
5_85,47.78666666666667,0.8125,72.16,26,16,4.7
5_84,24.381441441441446,0.7692307692307693,70.47,20,26,4.0
5_85,13.0,1.0,83.66,13,13,4.7
5_84,67.76000000000002,0.8181818181818182,87.92,36,8,4.1
5_85,145.65600000000003,0.9019607843137255,44.08,46,51,4.4
5_85,68.82909090909091,0.7884615384615384,58.28,41,13,5.1
5_84,82.89555555555557,0.7534246575342466,78.28,55,18,3.9
5_83,89.77999999999999,0.7910447761194029,105.25,53,8,3.7
5_83,134.7733333333333,0.9210526315789473,86.03,35,19,3.9
5_85,70.58333333333336,0.7818181818181819,68.94,43,27,4.6
5_82,76.0724207897612,0.6796116504854369,75.95,70,20,4.0
5_82,62.32405213270144,0.7714285714285715,61.33,54,35,4.3
5_82,101.41168411037108,0.8125,72.16,78,16,4.6
5_82,93.80583333333334,0.7362637362637363,73.71,67,22,4.3
5_86,49.000000000000014,0.8,81.29,28,7,4.2
5_87,82.17652786489748,0.7422680412371134,68.3,72,19,4.3
5_87,67.27000000000001,0.8709677419354839,65.39,27,31,4.0
5_87,164.6400000000001,0.9285714285714286,91.11,39,14,4.5
5_86,190.99684210526317,0.7639751552795031,56.49,123,23,4.7
5_86,33.74823529411765,0.75,87.05,27,18,3.8
5_87,79.96835443037975,0.7052631578947368,69.11,67,19,4.4
5_86,66.8326779661017,0.8809523809523809,77.43,37,10,4.8
5_87,56.000000000000014,0.9,51.18,18,20,5.7
5_88,52.64705882352942,0.6083333333333333,93.48,73,20,3.6
5_89,52.04060382492217,0.631578947368421,94.49,48,19,3.7
5_86,43.7198275862069,0.7142857142857143,88.77,35,16,4.2
5_88,79.21545454545455,0.7215189873417721,88.84,57,7,4.2
5_89,38.37994350282486,0.5747126436781609,90.6,50,14,3.5
5_86,212.93999999999986,0.9487179487179487,66.74,37,13,4.7
5_88,50.30905218317359,0.5914634146341463,92.53,97,12,3.9
5_89,46.39378612716763,0.5294117647058824,79.6,81,17,3.8
5_87,49.77777777777779,0.775,83.36,31,13,3.9
5_88,90.34666666666668,0.8636363636363636,90.39,38,14,3.7
5_87,56.04571695243364,0.6271186440677966,66.91,74,29,4.3
5_88,44.282170294494236,0.6142857142857143,91.11,86,14,4.0
5_89,69.3743961352657,0.5656565656565656,70.23,112,18,4.4
5_89,42.951131991713524,0.5714285714285714,83.56,60,13,3.8
5_88,82.79384615384615,0.7903225806451613,92.73,49,12,4.0
5_88,55.74038461538461,0.6911764705882353,99.97,47,13,3.4
5_90,87.95652173913044,0.7294117647058823,66.78,62,21,4.4
5_90,90.34666666666668,0.8636363636363636,73.47,38,14,4.1
5_91,113.25,0.7196969696969697,71.65,95,16,4.8
5_90,67.70750000000001,0.8490566037735849,83.36,45,13,4.0
5_92,109.76000000000008,0.9285714285714286,99.57,26,14,3.5
5_90,235.4800000000003,0.9655172413793104,74.87,28,29,4.3
5_90,112.5,0.7066666666666667,77.77,106,18,4.1
5_90,76.45793108659514,0.7425742574257426,73.78,75,14,4.6
5_93,35.76209110977322,0.6705882352941176,96.69,57,8,3.8
5_90,80.57759784075574,0.6079545454545454,78.99,107,17,4.1
5_92,37.03,0.8260869565217391,93.64,19,11,3.8
5_94,15.0,1.0,74.86,15,5,5.0
5_94,31.299333333333337,0.7368421052631579,86.03,28,19,3.4
5_95,63.00000000000002,0.8,79.26,36,9,4.4
5_95,30.101585689735977,0.673469387755102,56.6,33,49,3.9
5_94,45.36000000000001,0.7777777777777778,78.59,28,18,4.0
5_94,117.73999999999997,0.9310344827586207,99.06,27,14,3.8
3_96,164.65750000000006,0.8350515463917526,86.81,81,9,4.3
3_96,95.00924401671521,0.632183908045977,70.53,110,17,4.4
3_97,56.56730769230769,0.6306306306306306,88.23,70,8,4.3
3_98,84.30038907972065,0.6125,76.45,98,20,4.0
3_97,135.52000000000015,0.9545454545454546,66.07,21,22,4.5
3_99,71.86802350137268,0.558974358974359,46.95,109,32,4.6
3_99,78.87640449438203,0.5256410256410257,64.54,123,23,4.0
3_99,97.12344872632266,0.5441176470588235,60.24,148,19,4.4
3_98,70.00477466081306,0.5137254901960784,59.67,131,28,4.5
3_100,72.11378742606257,0.6576576576576577,74.32,73,22,4.0
3_98,95.57121798415332,0.6758620689655173,51.55,98,36,4.3
3_100,93.86067193675888,0.6879432624113475,67.79,97,20,4.3
3_96,114.33333333333331,0.9142857142857143,87.92,32,8,4.3
3_98,85.9243881118881,0.6861313868613139,79.5,94,17,4.4
3_100,94.41666666666669,0.6428571428571429,68.81,99,19,4.4
3_100,69.36791538232077,0.6434782608695652,71.75,74,16,4.2
3_100,62.1294964028777,0.6302521008403361,58.15,75,29,4.3
